Set;E-Value;MCC
1;1.0;0.9268575615087341
1;2.0;0.9737316998410482
1;3.0;0.9918975059988192
1;4.0;0.9891380790146813
1;5.0;0.989064055401246
1;6.0;0.9945170344266482
1;7.0;0.9917642133688879
1;8.0;0.9917642133688879
1;9.0;0.9917642133688879
1;10.0;0.9917642133688879
1;11.0;0.9862355782317788
1;12.0;0.9862355782317788
2;1.0;0.9286936558621176
2;2.0;0.966069858089606
2;3.0;0.9758994838050022
2;4.0;0.9836107878399757
2;5.0;0.994486844027466
2;6.0;0.994486844027466
2;7.0;0.9917188018798937
2;8.0;0.9917188018798937
2;9.0;0.9917188018798937
2;10.0;0.9861594674746577
2;11.0;0.9861594674746577
2;12.0;0.9833680437753317
