structure:,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,PDB 1bun:B,,0.596,0.609,0.650,0.639,0.539,0.616,0.568,0.620,0.564,0.624,0.463,0.594,0.597,0.629,0.616,0.635,0.618,0.602,0.578,0.628,0.595,0.603
2,PDB 1dtx:A,0.596,,0.658,0.714,0.696,0.580,0.669,0.626,0.701,0.658,0.675,0.514,0.676,0.578,0.712,0.660,0.687,0.715,0.649,0.678,0.734,0.686,0.673
3,PDB 1f5r:I,0.609,0.658,,0.771,0.670,0.605,0.778,0.640,0.695,0.639,0.754,0.531,0.683,0.578,0.722,0.713,0.762,0.683,0.711,0.657,0.744,0.690,0.685
4,PDB 1fak:I,0.650,0.714,0.771,,0.718,0.636,0.780,0.676,0.741,0.682,0.777,0.557,0.720,0.617,0.758,0.729,0.784,0.741,0.723,0.702,0.773,0.720,0.716
5,PDB 1knt:A,0.639,0.696,0.670,0.718,,0.647,0.686,0.646,0.711,0.650,0.706,0.518,0.690,0.614,0.732,0.759,0.709,0.728,0.739,0.682,0.735,0.684,0.706
6,PDB 1yc0:I,0.539,0.580,0.605,0.636,0.647,,0.619,0.575,0.604,0.562,0.620,0.452,0.592,0.503,0.636,0.673,0.622,0.609,0.663,0.579,0.644,0.586,0.591
7,PDB 1yld:B,0.616,0.669,0.778,0.780,0.686,0.619,,0.647,0.708,0.650,0.769,0.538,0.695,0.588,0.736,0.729,0.774,0.694,0.726,0.674,0.755,0.702,0.702
8,PDB 1zr0:B,0.568,0.626,0.640,0.676,0.646,0.575,0.647,,0.644,0.598,0.637,0.493,0.636,0.533,0.677,0.682,0.649,0.631,0.680,0.602,0.690,0.632,0.629
9,PDB 3byb:A,0.620,0.701,0.695,0.741,0.711,0.604,0.708,0.644,,0.643,0.721,0.536,0.700,0.597,0.706,0.697,0.723,0.716,0.693,0.681,0.737,0.698,0.705
10,PDB 3m7q:B,0.564,0.658,0.639,0.682,0.650,0.562,0.650,0.598,0.643,,0.641,0.486,0.632,0.541,0.716,0.635,0.655,0.682,0.620,0.625,0.709,0.644,0.615
11,PDB 3wny:A,0.624,0.675,0.754,0.777,0.706,0.620,0.769,0.637,0.721,0.641,,0.534,0.688,0.596,0.710,0.718,0.792,0.708,0.708,0.679,0.746,0.695,0.704
12,PDB 4bqd:A,0.463,0.514,0.531,0.557,0.518,0.452,0.538,0.493,0.536,0.486,0.534,,0.521,0.434,0.535,0.527,0.541,0.521,0.526,0.492,0.557,0.519,0.521
13,PDB 4dtg:K,0.594,0.676,0.683,0.720,0.690,0.592,0.695,0.636,0.700,0.632,0.688,0.521,,0.566,0.700,0.689,0.696,0.685,0.687,0.651,0.724,0.681,0.679
14,PDB 4ntw:B,0.597,0.578,0.578,0.617,0.614,0.503,0.588,0.533,0.597,0.541,0.596,0.434,0.566,,0.602,0.584,0.604,0.599,0.574,0.571,0.603,0.580,0.585
15,PDB 4u30:X,0.629,0.712,0.722,0.758,0.732,0.636,0.736,0.677,0.706,0.716,0.710,0.535,0.700,0.602,,0.759,0.728,0.733,0.738,0.692,0.787,0.706,0.686
16,PDB 4u32:X,0.616,0.660,0.713,0.729,0.759,0.673,0.729,0.682,0.697,0.635,0.718,0.527,0.689,0.584,0.759,,0.723,0.688,0.841,0.667,0.758,0.680,0.695
17,PDB 5jb7:A,0.635,0.687,0.762,0.784,0.709,0.622,0.774,0.649,0.723,0.655,0.792,0.541,0.696,0.604,0.728,0.723,,0.715,0.714,0.685,0.760,0.703,0.706
18,PDB 5m4v:A,0.618,0.715,0.683,0.741,0.728,0.609,0.694,0.631,0.716,0.682,0.708,0.521,0.685,0.599,0.733,0.688,0.715,,0.672,0.698,0.754,0.687,0.673
19,PDB 5nx1:C,0.602,0.649,0.711,0.723,0.739,0.663,0.726,0.680,0.693,0.620,0.708,0.526,0.687,0.574,0.738,0.841,0.714,0.672,,0.654,0.752,0.672,0.687
20,PDB 5yv7:A,0.578,0.678,0.657,0.702,0.682,0.579,0.674,0.602,0.681,0.625,0.679,0.492,0.651,0.571,0.692,0.667,0.685,0.698,0.654,,0.716,0.670,0.657
21,PDB 6bx8:B,0.628,0.734,0.744,0.773,0.735,0.644,0.755,0.690,0.737,0.709,0.746,0.557,0.724,0.603,0.787,0.758,0.760,0.754,0.752,0.716,,0.734,0.713
22,PDB 6q61:A,0.595,0.686,0.690,0.720,0.684,0.586,0.702,0.632,0.698,0.644,0.695,0.519,0.681,0.580,0.706,0.680,0.703,0.687,0.672,0.670,0.734,,0.696
23,PDB 6yhy:A,0.603,0.673,0.685,0.716,0.706,0.591,0.702,0.629,0.705,0.615,0.704,0.521,0.679,0.585,0.686,0.695,0.706,0.673,0.687,0.657,0.713,0.696,
