structure:,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
1,PDB 1bun:B,,0.321,0.321,0.286,0.321,0.250,0.250,0.321,0.286,0.321,0.357,0.250,0.286,0.250,0.429,0.321,0.214,0.250,0.143,0.357,0.250,0.286,0.286,0.250,0.250
2,PDB 1dtx:A,0.321,,0.321,0.250,0.357,0.286,0.250,0.321,0.500,0.429,0.357,0.214,0.393,0.464,0.250,0.250,0.357,0.179,0.107,0.464,0.357,0.429,0.393,0.429,0.357
3,PDB 1f5r:I,0.321,0.321,,0.786,0.286,0.321,0.893,0.357,0.357,0.357,0.250,0.821,0.357,0.464,0.250,0.250,0.393,0.714,0.143,0.286,0.357,0.143,0.357,0.286,0.321
4,PDB 1fak:I,0.286,0.250,0.786,,0.286,0.321,0.679,0.429,0.393,0.321,0.286,0.643,0.393,0.500,0.250,0.214,0.357,0.607,0.179,0.286,0.321,0.143,0.393,0.286,0.321
5,PDB 1knt:A,0.321,0.357,0.286,0.286,,0.357,0.250,0.464,0.429,0.321,0.393,0.250,0.321,0.393,0.286,0.500,0.321,0.250,0.071,0.393,0.464,0.250,0.321,0.393,0.357
6,PDB 1yc0:I,0.250,0.286,0.321,0.321,0.357,,0.286,0.429,0.393,0.464,0.429,0.250,0.286,0.393,0.214,0.321,0.607,0.250,0.036,0.393,0.536,0.250,0.286,0.357,0.393
7,PDB 1yld:B,0.250,0.250,0.893,0.679,0.250,0.286,,0.321,0.321,0.321,0.214,0.750,0.321,0.429,0.214,0.214,0.393,0.679,0.143,0.214,0.321,0.071,0.321,0.250,0.286
8,PDB 1zr0:B,0.321,0.321,0.357,0.429,0.464,0.429,0.321,,0.500,0.500,0.464,0.286,0.393,0.500,0.321,0.321,0.429,0.286,0.107,0.464,0.464,0.321,0.393,0.357,0.357
9,PDB 2ody:F,0.286,0.500,0.357,0.393,0.429,0.393,0.321,0.500,,0.536,0.714,0.286,0.500,0.536,0.357,0.357,0.429,0.286,0.143,0.464,0.571,0.429,0.500,0.429,0.429
10,PDB 3byb:A,0.321,0.429,0.357,0.321,0.321,0.464,0.321,0.500,0.536,,0.536,0.286,0.464,0.429,0.357,0.286,0.464,0.250,0.071,0.536,0.464,0.464,0.429,0.393,0.393
11,PDB 3m7q:B,0.357,0.357,0.250,0.286,0.393,0.429,0.214,0.464,0.714,0.536,,0.214,0.500,0.500,0.321,0.393,0.357,0.214,0.143,0.500,0.571,0.464,0.464,0.357,0.357
12,PDB 3wny:A,0.250,0.214,0.821,0.643,0.250,0.250,0.750,0.286,0.286,0.286,0.214,,0.286,0.393,0.214,0.214,0.321,0.893,0.143,0.214,0.286,0.107,0.286,0.250,0.250
13,PDB 4bqd:A,0.286,0.393,0.357,0.393,0.321,0.286,0.321,0.393,0.500,0.464,0.500,0.286,,0.571,0.321,0.321,0.357,0.286,0.107,0.429,0.357,0.286,0.929,0.357,0.321
14,PDB 4dtg:K,0.250,0.464,0.464,0.500,0.393,0.393,0.429,0.500,0.536,0.429,0.500,0.393,0.571,,0.321,0.286,0.429,0.393,0.179,0.429,0.429,0.214,0.571,0.429,0.393
15,PDB 4ntw:B,0.429,0.250,0.250,0.250,0.286,0.214,0.214,0.321,0.357,0.357,0.321,0.214,0.321,0.321,,0.321,0.250,0.214,0.143,0.321,0.357,0.286,0.321,0.286,0.286
16,PDB 4u30:X,0.321,0.250,0.250,0.214,0.500,0.321,0.214,0.321,0.357,0.286,0.393,0.214,0.321,0.286,0.321,,0.286,0.214,0.071,0.321,0.464,0.250,0.321,0.214,0.250
17,PDB 4u32:X,0.214,0.357,0.393,0.357,0.321,0.607,0.393,0.429,0.429,0.464,0.357,0.321,0.357,0.429,0.250,0.286,,0.321,0.036,0.321,0.429,0.214,0.357,0.321,0.357
18,PDB 5jb7:A,0.250,0.179,0.714,0.607,0.250,0.250,0.679,0.286,0.286,0.250,0.214,0.893,0.286,0.393,0.214,0.214,0.321,,0.143,0.179,0.286,0.107,0.286,0.321,0.286
19,PDB 5jbt:Y,0.143,0.107,0.143,0.179,0.071,0.036,0.143,0.107,0.143,0.071,0.143,0.143,0.107,0.179,0.143,0.071,0.036,0.143,,0.036,0.179,0.071,0.107,0.107,0.107
20,PDB 5m4v:A,0.357,0.464,0.286,0.286,0.393,0.393,0.214,0.464,0.464,0.536,0.500,0.214,0.429,0.429,0.321,0.321,0.321,0.179,0.036,,0.429,0.464,0.429,0.286,0.321
21,PDB 5nx1:C,0.250,0.357,0.357,0.321,0.464,0.536,0.321,0.464,0.571,0.464,0.571,0.286,0.357,0.429,0.357,0.464,0.429,0.286,0.179,0.429,,0.464,0.357,0.357,0.357
22,PDB 5yv7:A,0.286,0.429,0.143,0.143,0.250,0.250,0.071,0.321,0.429,0.464,0.464,0.107,0.286,0.214,0.286,0.250,0.214,0.107,0.071,0.464,0.464,,0.286,0.286,0.286
23,PDB 6bx8:B,0.286,0.393,0.357,0.393,0.321,0.286,0.321,0.393,0.500,0.429,0.464,0.286,0.929,0.571,0.321,0.321,0.357,0.286,0.107,0.429,0.357,0.286,,0.357,0.321
24,PDB 6q61:A,0.250,0.429,0.286,0.286,0.393,0.357,0.250,0.357,0.429,0.393,0.357,0.250,0.357,0.429,0.286,0.214,0.321,0.321,0.107,0.286,0.357,0.286,0.357,,0.821
25,PDB 6yhy:A,0.250,0.357,0.321,0.321,0.357,0.393,0.286,0.357,0.429,0.393,0.357,0.250,0.321,0.393,0.286,0.250,0.357,0.286,0.107,0.321,0.357,0.286,0.321,0.821,
